date,geography,geography code,Number of cars or vans: Total: All households,Number of cars or vans: No cars or vans in household,Number of cars or vans: 1 car or van in household,Number of cars or vans: 2 cars or vans in household,Number of cars or vans: 3 or more cars or vans in household
2021,Dudley,E08000027,137069,28090,55799,39332,13848
2021,Sandwell,E08000028,130246,38092,54728,28286,9140
2021,Solihull,E08000029,89483,15754,35180,28347,10202
2021,Walsall,E08000030,112226,28002,45286,28621,10317
2021,Wolverhampton,E08000031,105141,29951,43012,24054,8124
2021,Bradford,E08000032,209867,57910,88910,48227,14820
2021,Calderdale,E08000033,90476,22177,38826,22646,6827
2021,Kirklees,E08000034,177989,40356,73901,48622,15110
2021,Leeds,E08000035,341466,98083,142676,79730,20977
2021,Wakefield,E08000036,153075,34928,63894,41956,12297
2021,Gateshead,E08000037,89000,28836,37139,18463,4562
2021,City of London,E09000001,4913,3793,954,123,43
2021,Barking and Dagenham,E09000002,73902,25682,33190,11911,3119
2021,Barnet,E09000003,148917,44580,66990,29077,8270
2021,Bexley,E09000004,95300,21327,43224,22652,8097
2021,Brent,E09000005,118612,52297,46316,15294,4705
2021,Bromley,E09000006,135827,31084,62960,30995,10788
2021,Camden,E09000007,92759,59037,27983,4809,930
2021,Croydon,E09000008,152944,51422,66099,26551,8872
2021,Ealing,E09000009,133661,49188,58513,20211,5749
2021,Enfield,E09000010,120924,37517,53617,22358,7432
2021,Greenwich,E09000011,114052,49186,48404,13007,3455
2021,Hackney,E09000012,106081,68832,32322,4167,760
2021,Hammersmith and Fulham,E09000013,81243,46679,28753,4944,867
2021,Haringey,E09000014,105092,55410,39894,8177,1611
2021,Harrow,E09000015,89642,22165,39651,21088,6738
2021,Havering,E09000016,101277,21806,44708,25232,9531
2021,Hillingdon,E09000017,109228,24353,48056,27117,9702
2021,Hounslow,E09000018,102964,33724,45507,17934,5799
2021,Islington,E09000019,96496,64536,27722,3606,632
2021,Kensington and Chelsea,E09000020,66884,39003,21860,4926,1095
2021,Kingston upon Thames,E09000021,65626,16866,31444,13381,3935
2021,Lambeth,E09000022,134688,78136,46524,8257,1771
2021,Lewisham,E09000023,122392,58369,50109,11201,2713
2021,Merton,E09000024,81726,27009,38843,12570,3304
2021,Newham,E09000025,115507,59697,43647,9919,2244
2021,Redbridge,E09000026,103713,28527,47181,21071,6934
2021,Richmond upon Thames,E09000027,80705,20516,41739,14790,3660
2021,Southwark,E09000028,130818,78851,43420,7177,1370
2021,Sutton,E09000029,82348,18782,38668,18785,6113
2021,Tower Hamlets,E09000030,120540,80018,34571,5057,894
2021,Waltham Forest,E09000031,102901,43337,43943,12198,3423
2021,Wandsworth,E09000032,137393,65756,57727,11711,2199
2021,Westminster,E09000033,94815,62789,26309,4670,1047
2021,Cambridgeshire,E10000003,277634,46904,115487,84278,30965
2021,Cumbria,E10000006,228954,43686,98018,64418,22832
2021,Derbyshire,E10000007,354213,60768,144752,109484,39209
2021,Devon,E10000008,352620,54818,147196,106934,43672
2021,East Sussex,E10000011,240119,46070,100507,66460,27082
2021,Essex,E10000012,626473,99454,255505,191930,79584
2021,Gloucestershire,E10000013,279426,41734,112950,89808,34934
2021,Hampshire,E10000014,587693,78045,226997,202544,80107
2021,Hertfordshire,E10000015,482893,75455,202732,149357,55349
2021,Kent,E10000016,648393,113321,269136,190304,75632
2021,Lancashire,E10000017,525247,106863,221541,148290,48553
2021,Leicestershire,E10000018,296408,39120,116394,102565,38329
2021,Lincolnshire,E10000019,333550,54834,141075,99979,37662
2021,Norfolk,E10000020,404341,70404,170487,116972,46478
2021,North Yorkshire,E10000023,274381,43102,115308,84961,31010
2021,Nottinghamshire,E10000024,357122,65261,149165,107180,35516
2021,Oxfordshire,E10000025,288108,46634,117445,90071,33958
2021,Somerset,E10000027,250120,34931,102925,78403,33861
2021,Staffordshire,E10000028,375222,59059,149032,121036,46095
2021,Suffolk,E10000029,333543,53075,137888,101874,40706
2021,Surrey,E10000030,481818,61260,194819,159951,65788
2021,Warwickshire,E10000031,253262,38550,100643,82855,31214
2021,West Sussex,E10000032,375216,60019,157117,114023,44057
2021,Worcestershire,E10000034,259933,38541,100955,85497,34940
2021,Isle of Anglesey,W06000001,30822,4617,12724,9399,4082
2021,Gwynedd,W06000002,51102,9027,21391,14345,6339
2021,Conwy,W06000003,52235,9676,22451,14392,5716
2021,Denbighshire,W06000004,42389,7969,17662,11910,4848
2021,Flintshire,W06000005,66911,9750,26684,21847,8630
2021,Wrexham,W06000006,57914,11033,23494,16886,6501
2021,Ceredigion,W06000008,30894,4861,12949,9017,4067
2021,Pembrokeshire,W06000009,55488,8432,23490,16317,7249
2021,Carmarthenshire,W06000010,81759,12594,33731,24722,10712
2021,Swansea,W06000011,104962,23767,44670,26886,9639
2021,Neath Port Talbot,W06000012,62375,13059,26396,16978,5942
2021,Bridgend,W06000013,62358,11366,26108,18425,6459
2021,Vale of Glamorgan,W06000014,57450,9529,24389,17612,5920
2021,Cardiff,W06000015,147333,38293,63557,35256,10227
2021,Rhondda Cynon Taff,W06000016,103338,22958,43205,27517,9658
2021,Caerphilly,W06000018,76257,15502,31897,21106,7752
2021,Blaenau Gwent,W06000019,30340,6969,12872,7663,2836
2021,Torfaen,W06000020,40241,7899,16687,11436,4219
2021,Monmouthshire,W06000021,40924,5297,15666,13870,6091
2021,Newport,W06000022,66054,14920,26859,18145,6130
2021,Powys,W06000023,60182,7886,24592,18687,9017
2021,Merthyr Tydfil,W06000024,25783,6455,10778,6350,2200
