"tablescraper-selected-row href","secondary src","sub-info"
"https://www.hempsteadvalley.com/leightons-opticians","https://www.hempsteadvalley.com/assets/images/Store%20Logo/leightons.png","Tel: 01634 261311"
"https://www.hempsteadvalley.com/marks-and-spencer","https://www.hempsteadvalley.com/assets/images/Store%20Logo/marksandspencer.png","Tel: 01634 260616"
"https://www.hempsteadvalley.com/mr-flower","https://www.hempsteadvalley.com/assets/images/Store%20Logo/Mr-Flower.png","Tel:"
"https://www.hempsteadvalley.com/nail-spa-beauty","https://www.hempsteadvalley.com/assets/images/Store%20Logo/2023/June/Nail_Spa_and_Beauty.png","Tel:"
"https://www.hempsteadvalley.com/new-look","https://www.hempsteadvalley.com/assets/images/Store%20Logo/newlook.png","Tel: 01634 269300"
"https://www.hempsteadvalley.com/nipa-beauty","https://www.hempsteadvalley.com/assets/images/Store%20Logo/nipa.png","Tel: 07577 963861"
"https://www.hempsteadvalley.com/o2","https://www.hempsteadvalley.com/assets/images/Store%20Logo/O2Logo.png","Tel: 01634 260 770"
"https://www.hempsteadvalley.com/pandora","https://www.hempsteadvalley.com/assets/images/Store%20Logo/pandora.png","Tel: 01634 233850"
"https://www.hempsteadvalley.com/poundland","https://www.hempsteadvalley.com/assets/images/Store%20Logo/poundland.png","Tel: 01634 386798"
"https://www.hempsteadvalley.com/roman","https://www.hempsteadvalley.com/assets/images/Store%20Logo/roman.png","Tel: 01634 377729"
"https://www.hempsteadvalley.com/sainsburys","https://www.hempsteadvalley.com/assets/images/Store%20Logo/sainsburys.png","Tel: 01634 648550"
"https://www.hempsteadvalley.com/sky","https://www.hempsteadvalley.com/assets/images/Store%20Logo/SKY.png","Tel: 01634 379297"
"https://www.hempsteadvalley.com/slk-nails-and-beauty","https://www.hempsteadvalley.com/assets/images/store-logos/SLK-logo.png","Tel: 07568 489998"
"https://www.hempsteadvalley.com/socialites","https://www.hempsteadvalley.com/assets/images/Store%20Logo/socialites-logo.png","Tel:"
"https://www.hempsteadvalley.com/specsavers","https://www.hempsteadvalley.com/assets/images/Store%20Logo/Specsavers_HV.png","Tel: 01634 541241"
"https://www.hempsteadvalley.com/supercuts","https://www.hempsteadvalley.com/assets/images/Store%20Logo/SuperCuts-New.png","Tel: 01634 372620"
"https://www.hempsteadvalley.com/superdrug","https://www.hempsteadvalley.com/assets/images/Store%20Logo/superdrug.png","Tel: 01634 260946"
"https://www.hempsteadvalley.com/tgjones","https://www.hempsteadvalley.com/assets/images/Store%20Logo/2025/hv_TGJones.png","Tel: 01634 261 390"
"https://www.hempsteadvalley.com/the-perfume-shop","https://www.hempsteadvalley.com/assets/imagesGallery/store-logos/theperfumeshop-new19.png","Tel: 01634 268370"
"https://www.hempsteadvalley.com/the-phone-stand","https://www.hempsteadvalley.com/assets/imagesGallery/store-logos/ThePhoneStand.png","Tel: 07971391976"
"https://www.hempsteadvalley.com/the-works","https://www.hempsteadvalley.com/assets/imagesGallery/store-logos/the-works.png","Tel:"
"https://www.hempsteadvalley.com/three","https://www.hempsteadvalley.com/assets/images/Store%20Logo/Three.png","Tel: 01634 268609"
"https://www.hempsteadvalley.com/timpson","https://www.hempsteadvalley.com/assets/images/Store%20Logo/timspon.png","Tel: 01634 375761"
"https://www.hempsteadvalley.com/tk-maxx","https://www.hempsteadvalley.com/assets/images/store-logos/tkmaxx.png","Tel: 01634 379198"
"https://www.hempsteadvalley.com/tui","https://www.hempsteadvalley.com/assets/images/store-logos/TUI-logo.png","Tel: 01634 262 623"
"https://www.hempsteadvalley.com/vision-express","https://www.hempsteadvalley.com/assets/images/Store%20Logo/visionexpress.png","Tel: 01634 365661"
"https://www.hempsteadvalley.com/vodaphone","https://www.hempsteadvalley.com/assets/images/Store%20Logo/vodaphone.png","Tel: 03333 040191"
"https://www.hempsteadvalley.com/warren-james","https://www.hempsteadvalley.com/assets/images/Store%20Logo/2025/warrenJamesLogoWhite.png","Tel: 01634 551 083"
"https://www.hempsteadvalley.com/yours","https://www.hempsteadvalley.com/assets/images/Store%20Logo/Yours.png","Tel: 01634 376688"
