"flex href","w-28 src","mt-8","mt-2"
"https://midsummerplace.co.uk/business-directory/wingstop","https://midsummer-place.transforms.svdcdn.com/production/assets/images/Logos/WS-Logo-Square@2x.png?w=112&h=112&q=90&fm=webp&fit=clip&dm=1721053171&s=c3fb0b4c8a35cbd7cadb4c1d787a6664","Wingstop","11:00am - 11:00pm"
"https://midsummerplace.co.uk/business-directory/house-of-sliders","https://midsummer-place.transforms.svdcdn.com/production/assets/images/Logos/House-of-Sliders-Final-Trademark-Logo.png?w=112&h=112&q=90&fm=webp&fit=clip&dm=1705070295&s=637872fe97e92a797e8a6360ddb7edb1","House of Sliders","9:30am - 8:00pm"
"https://midsummerplace.co.uk/business-directory/pret-a-manger","https://midsummer-place.transforms.svdcdn.com/production/assets/images/Logos/Pret-Logo-202-FINAL-2019.png?w=112&h=112&q=90&fm=webp&fit=clip&dm=1701268322&s=029b3e4d6d19a6457997874271b823cf","Pret a Manger","9:30am - 8:00pm"
"https://midsummerplace.co.uk/business-directory/luke-1977","https://midsummer-place.transforms.svdcdn.com/production/assets/images/Logos/luke-logo.jpg?w=112&h=112&q=90&fm=webp&fit=clip&dm=1708961984&s=9a233156f38c2021d0e490a45cc451b6","LUKE 1977","9:30am - 8:00pm"
"https://midsummerplace.co.uk/business-directory/iconic-cuts","https://midsummer-place.transforms.svdcdn.com/production/assets/images/Logos/Iconic-Cuts-Logo-v1.jpg?w=112&h=112&q=90&fm=webp&fit=clip&dm=1694706145&s=3fa4cf3e2929847581413d53e2c07433","Iconic Cuts","10:00am - 8:00pm"
"https://midsummerplace.co.uk/business-directory/zara","https://midsummer-place.transforms.svdcdn.com/production/assets/images/Logos/Zara-main-image-for-website-v1637925514.png?w=112&h=112&q=90&fm=webp&fit=clip&dm=1666088155&s=f1c45c7a5ad10921b163034a6e762d46","Zara","9:30am - 8:00pm"
"https://midsummerplace.co.uk/business-directory/waterstones","https://midsummer-place.transforms.svdcdn.com/production/assets/images/Logos/Waterstones-main-image-for-website-v1637925240.png?w=112&h=112&q=90&fm=webp&fit=clip&dm=1666088154&s=6bf0d2409285a832049708af7f496a61","Waterstones","9:00am - 8:00pm"
"https://midsummerplace.co.uk/business-directory/toni-guy","https://midsummer-place.transforms.svdcdn.com/production/assets/images/Logos/Toni-Guy-main-image-for-website-v1637865405.png?w=112&h=112&q=90&fm=webp&fit=clip&dm=1666088153&s=4b9a79f0b3e3d5b36808131999573d6d","Toni & Guy","9:00am - 6:00pm"
"https://midsummerplace.co.uk/business-directory/timberland","https://midsummer-place.transforms.svdcdn.com/production/assets/images/Logos/Timberland-main-image-for-website-v1637852406.png?w=112&h=112&q=90&fm=webp&fit=clip&dm=1666088152&s=e7891207c64797e6af5270491191d004","Timberland","9:30am - 7:00pm"
"https://midsummerplace.co.uk/business-directory/superdry","https://midsummer-place.files.svdcdn.com/production/assets/images/Logos/SuperdryCo-Hero-Brand-Mark-RGB-PRIMARY-Full-Stack-Black.svg?dm=1760448682","Superdry","9:30am - 8:00pm"
"https://midsummerplace.co.uk/business-directory/starbucks","https://midsummer-place.transforms.svdcdn.com/production/assets/images/Logos/thumb_5146_logo_retailer_1x-v1605638274.png?w=112&h=112&q=90&fm=webp&fit=clip&dm=1666088149&s=c45c4292597a97ee4ec6b72098ee8f91","Starbucks","6:30am - 7:00pm"
"https://midsummerplace.co.uk/business-directory/sports-direct","https://midsummer-place.transforms.svdcdn.com/production/assets/images/Logos/Sports-Direct-main-image-for-website-v1637923637.png?w=112&h=112&q=90&fm=webp&fit=clip&dm=1666088148&s=bfe4e8d2ae2458796e885152f4794f04","Sports Direct","9:00am - 8:00pm"
"https://midsummerplace.co.uk/business-directory/schuh","https://midsummer-place.transforms.svdcdn.com/production/assets/images/Logos/schuh-main-image-for-website-v1637753395.png?w=112&h=112&q=90&fm=webp&fit=clip&dm=1666088147&s=f5a8c1fdca65c940f69d240f535c7e60","schuh","10:00am - 8:00pm"
"https://midsummerplace.co.uk/business-directory/new-look","https://midsummer-place.transforms.svdcdn.com/production/assets/images/Logos/New-Look-main-image-for-website-v1637850305.png?w=112&h=112&q=90&fm=webp&fit=clip&dm=1666088146&s=30d741b31b04892df5fbf6a683596f30","New Look","9:30am - 8:00pm"
"https://midsummerplace.co.uk/business-directory/mr-pretzels","https://midsummer-place.transforms.svdcdn.com/production/assets/images/Logos/Mr-Pretzels-main-image-for-website-v1637928632.png?w=112&h=112&q=90&fm=webp&fit=clip&dm=1666088145&s=ced0aababb88afc068dc757fe833aa08","Mr Pretzels","9:30am - 8:00pm"
"https://midsummerplace.co.uk/business-directory/levis","https://midsummer-place.transforms.svdcdn.com/production/assets/images/Logos/Levis-main-image-for-website-v1637753192.png?w=112&h=112&q=90&fm=webp&fit=clip&dm=1666088144&s=7e9efbcef47ad0fb0fab1a82e8dbe850","Levi’s®","9:30am - 8:00pm"
"https://midsummerplace.co.uk/business-directory/lego","https://midsummer-place.transforms.svdcdn.com/production/assets/images/Logos/LEGO-main-image-for-website-v1637921569.png?w=112&h=112&q=90&fm=webp&fit=clip&dm=1666088143&s=b3aeae496622c81f9c99ac7639e89b7b","LEGO","9:30am - 8:00pm"
"https://midsummerplace.co.uk/business-directory/hsbc","https://midsummer-place.transforms.svdcdn.com/production/assets/images/Logos/hsbclogo-140619.p3q7yj-v1605638274.png?w=112&h=112&q=90&fm=webp&fit=clip&dm=1666088142&s=94d66de50d174ee5b1a6cf831ac34416","HSBC","9:30am - 4:30pm"
"https://midsummerplace.co.uk/business-directory/hollister","https://midsummer-place.transforms.svdcdn.com/production/assets/images/Logos/Hollister-main-image-for-website-v1637752593.png?w=112&h=112&q=90&fm=webp&fit=clip&dm=1666088141&s=fa4a5cab7bcbdc13811b173daccde928","Hollister","9:30am - 8:00pm"
"https://midsummerplace.co.uk/business-directory/foot-locker","https://midsummer-place.transforms.svdcdn.com/production/assets/images/Logos/FL-StriperLogo_Black_CMYK-319x319.png?w=112&h=112&q=90&fm=webp&fit=clip&dm=1739965597&s=85ed5f8ff4f22a05fda9db5e5fc6e6cc","Foot Locker","9:30am - 8:00pm"
"https://midsummerplace.co.uk/business-directory/charles-clinkard","https://midsummer-place.transforms.svdcdn.com/production/assets/images/Logos/Charles-Clinkard-main-image-for-website-v1649770016.png?w=112&h=112&q=90&fm=webp&fit=clip&dm=1666088138&s=ac24a57eef758efa78f354ff4354b8c9","Charles Clinkard","9:30am - 6:00pm"
"https://midsummerplace.co.uk/business-directory/boss","https://midsummer-place.transforms.svdcdn.com/production/assets/images/Logos/BOSS-main-image-for-website-v1640015699.png?w=112&h=112&q=90&fm=webp&fit=clip&dm=1666088136&s=cdb5e0a24aebd29a4a287addd3ba0505","BOSS","9:30am - 8:00pm"
"https://midsummerplace.co.uk/business-directory/apple-store","https://midsummer-place.transforms.svdcdn.com/production/assets/images/Logos/Apple-v1636647630_2022-10-18-101535_kcls.png?w=112&h=112&q=90&fm=webp&fit=clip&dm=1666088135&s=ebff5039db9e26561da4eb4baaa59aab","Apple","9:30am - 8:00pm"
"https://midsummerplace.co.uk/business-directory/souv-lucky-day-greek-gyros","https://midsummer-place.transforms.svdcdn.com/production/assets/images/Logos/Souv-Lucky-logo_2021-05-17-105756-v1621249077.png?w=112&h=112&q=90&fm=webp&fit=clip&dm=1666088135&s=bbcbc10eea7e51f8332c0841ae9c3656","Souv-Lucky Day Greek Gyros","10:30am - 6:30pm"
"https://midsummerplace.co.uk/business-directory/blue-inc","https://midsummer-place.transforms.svdcdn.com/production/assets/images/Logos/Blue-inc-2.png?w=112&h=112&q=90&fm=webp&fit=clip&dm=1667065304&s=5c622bb1b64de2cb9d9131cff8c761fa","Blue Inc","9:30am - 8:00pm"
"https://midsummerplace.co.uk/business-directory/suit-direct","https://midsummer-place.transforms.svdcdn.com/production/assets/images/Logos/Suit-direct-logo-Black.png?w=112&h=112&q=90&fm=webp&fit=clip&dm=1702991424&s=03fef72ca8a9c4cb45930424a02f9c64","Suit Direct","9:30am - 8:00pm"
"https://midsummerplace.co.uk/business-directory/off-the-record","https://midsummer-place.transforms.svdcdn.com/production/assets/images/Logos/Off-the-Record-logo.png?w=112&h=112&q=90&fm=webp&fit=clip&dm=1692517879&s=81ef688210025132ce505609933100e1","Off the Record","10:00am - 6:00pm"
"https://midsummerplace.co.uk/business-directory/lebanese-grill-house","https://midsummer-place.transforms.svdcdn.com/production/assets/images/Logos/Lebanese-Grill-House-Logo-2-540x540.jpg?w=112&h=112&q=90&fm=webp&fit=clip&dm=1683716500&s=b0c46b1f325a805ae4af8595d2847153","Lebanese Grill House","9:30am - 8:00pm"
"https://midsummerplace.co.uk/business-directory/panda-woo","https://midsummer-place.transforms.svdcdn.com/production/assets/images/Logos/Panda-Woo-Socials_Instagram-V2_2023-07-28-105439_sary.png?w=112&h=112&q=90&fm=webp&fit=clip&dm=1690541679&s=5a8fece5912e109883ef37d494e65ba1","Panda Woo","11:00am - 8:00pm"
"https://midsummerplace.co.uk/business-directory/jerk-n-rum","https://midsummer-place.transforms.svdcdn.com/production/assets/images/Logos/Jerk-N-Rum-Logo-1500-x-1320-City-Centre-Website.png?w=112&h=112&q=90&fm=webp&fit=clip&dm=1684230109&s=8008d43f194252c694aac3e918c0a37d","Jerk N Rum","11:00am - 9:00pm"
"https://midsummerplace.co.uk/business-directory/navara-beauty-salon","https://midsummer-place.transforms.svdcdn.com/production/assets/images/Logos/Navara-logo-for-salon.png?w=112&h=112&q=90&fm=webp&fit=clip&dm=1682334346&s=9dd604485346dce30c3eca28b1fe257a","Navara Beauty Salon","9:30am - 6:30pm"
"https://midsummerplace.co.uk/business-directory/ping-pong-parlour","https://midsummer-place.transforms.svdcdn.com/production/assets/images/Logos/Ping-Pong-Parlour.png?w=112&h=112&q=90&fm=webp&fit=clip&dm=1670323835&s=e60d69a01ffc27636f3423771b6b992a","Ping Pong Parlour","9:30am - 8:00pm"
"https://midsummerplace.co.uk/business-directory/londis","https://midsummer-place.transforms.svdcdn.com/production/assets/images/Logos/londis-logo-1500-x-1320.jpg?w=112&h=112&q=90&fm=webp&fit=clip&dm=1675355431&s=3013c9cb2f8fe126317512e974692e23","Londis","9:30am - 8:00pm"
"https://midsummerplace.co.uk/business-directory/cavani","https://midsummer-place.transforms.svdcdn.com/production/assets/images/Logos/Logo-Navy.jpg?w=112&h=112&q=90&fm=webp&fit=clip&dm=1669283090&s=3e453f37de339be76fffa9a998668522","Cavani","9:30am - 8:00pm"
"https://midsummerplace.co.uk/business-directory/churros-mexicanos","https://midsummer-place.transforms.svdcdn.com/production/assets/images/Logos/Churros-Locos-Standard-Lockup-CMYK.jpg?w=112&h=112&q=90&fm=webp&fit=clip&dm=1681898204&s=360326165aba2bacb153ed43cb682078","Churros Locos","10:30am - 7:00pm"
"https://midsummerplace.co.uk/business-directory/mobile-bitz","https://midsummer-place.transforms.svdcdn.com/production/assets/images/Logos/mobilebitz0719.mtqvss-v1605638274.png?w=112&h=112&q=90&fm=webp&fit=clip&dm=1666088168&s=92f197e7959a2ab50a63e3991c9f6a89","Mobile Bitz","9:30am - 8:00pm"
"https://midsummerplace.co.uk/business-directory/the-dutch-hospital","https://midsummer-place.transforms.svdcdn.com/production/assets/images/Logos/Dutch-Hospital-540x250px-v1651826348.jpg?w=112&h=112&q=90&fm=webp&fit=clip&dm=1666088167&s=049edde8574d26dd4d83242bc5ae2193","The Dutch Hospital","9:30am - 8:00pm"
"https://midsummerplace.co.uk/business-directory/the-car-wash-co","https://midsummer-place.transforms.svdcdn.com/production/assets/images/Logos/the-carwash-co-logo.nsm4v6-v1605638274.png?w=112&h=112&q=90&fm=webp&fit=clip&dm=1666088164&s=e6087c58c97a329b625e02860010f129","The Car Wash Co.","9:30am - 8:00pm"
"https://midsummerplace.co.uk/business-directory/eurochange","https://midsummer-place.transforms.svdcdn.com/production/assets/images/Logos/eurochange.jx34d4-v1605638274.png?w=112&h=112&q=90&fm=webp&fit=clip&dm=1666088163&s=ce325f466cd11962fbb9990f2abf2495","Eurochange","9:30am - 6:00pm"
"https://midsummerplace.co.uk/business-directory/dr-martens","https://midsummer-place.transforms.svdcdn.com/production/assets/images/Logos/Dr-Martens-Main-image-for-website-v1637839438.png?w=112&h=112&q=90&fm=webp&fit=clip&dm=1666088161&s=1e0e62db8a77ce1a0fffc77862db3a28","Dr Martens","9:30am - 8:00pm"
"https://midsummerplace.co.uk/business-directory/victorias-secret","https://midsummer-place.transforms.svdcdn.com/production/assets/images/Logos/Victorias-Secret-main-image-for-website-v1637851839.png?w=112&h=112&q=90&fm=webp&fit=clip&dm=1666088161&s=7848041937616d30017d28eafefd2938","Victoria's Secret","9:30am - 8:00pm"
"https://midsummerplace.co.uk/business-directory/tesla","https://midsummer-place.transforms.svdcdn.com/production/assets/images/Logos/thumb_31954_logo_retailer_1x-v1605638274.png?w=112&h=112&q=90&fm=webp&fit=clip&dm=1666088160&s=017525ae6b5bb06a9eccad8fcf9dca04","Tesla","10:00am - 5:00pm"
"https://midsummerplace.co.uk/business-directory/five-guys","https://midsummer-place.transforms.svdcdn.com/production/assets/images/Logos/Five-Guys-main-image-for-website-v1638013471.png?w=112&h=112&q=90&fm=webp&fit=clip&dm=1666088159&s=dfc1501325c9dded795774edcb8e6f1f","Five Guys","11:00am - 6:00pm"
"https://midsummerplace.co.uk/business-directory/kokoro-sushi-bento","https://midsummer-place.transforms.svdcdn.com/production/assets/images/Logos/Kokoro-mainimage-for-website-v1638013302.png?w=112&h=112&q=90&fm=webp&fit=clip&dm=1666088156&s=f1c0e895cd7c62bcfbbf46d4203ec696","Kokoro Sushi & Bento","12:00pm - 8:00pm"
