StoreName,MidsummerURL,OpeningHours,LogoURL,Website,Email,Email_Alt,Email_Source,Phone,Phone_Source,Facebook,Instagram,Twitter,LinkedIn,TikTok,Address,GoogleMapsURL,Confidence_Score,Enrichment_Sources,Notes
FLANNELS,https://midsummerplace.co.uk/business-directory/flannels,9:30am - 8:00pm,https://midsummer-place.transforms.svdcdn.com/production/assets/images/Logos/FL-logo-Black.png?w=112&h=112&q=90&fm=webp&fit=clip&dm=1720104976&s=2f24845299ed6e93a18a2c3517f69194,https://www.flannels.com/milton-keynes-mid-fl-store-3463,,,,+44 343 909 3463,google_maps,,https://www.instagram.com/flannels,,,,"38 Midsummer Blvd, Milton Keynes MK9 3GA, United Kingdom",,30,"midsummer, instagram_bio, outscraper",
Wingstop,https://midsummerplace.co.uk/business-directory/wingstop,11:00am - 11:00pm,https://midsummer-place.transforms.svdcdn.com/production/assets/images/Logos/WS-Logo-Square@2x.png?w=112&h=112&q=90&fm=webp&fit=clip&dm=1721053171&s=c3fb0b4c8a35cbd7cadb4c1d787a6664,https://www.wingstop.co.uk/%3Fy_source%3D1_MTA2MDkyOTYyMy03MTUtbG9jYXRpb24ud2Vic2l0ZQ%253D%253D,,,,+44 1908 041796,google_maps,,https://www.instagram.com/wingstopuk,,,,"Unit 3, Midsummer Place Shopping Centre, 86-88 Midsummer Blvd, Milton Keynes MK9 3GB, United Kingdom",,30,"midsummer, instagram_bio, outscraper",
House of Sliders,https://midsummerplace.co.uk/business-directory/house-of-sliders,9:30am - 8:00pm,https://midsummer-place.transforms.svdcdn.com/production/assets/images/Logos/House-of-Sliders-Final-Trademark-Logo.png?w=112&h=112&q=90&fm=webp&fit=clip&dm=1705070295&s=637872fe97e92a797e8a6360ddb7edb1,https://houseofslidersmk.co.uk/,,,,,,,https://www.instagram.com/houseofsliders,,,,"Unit 2, Midsummer Place Shopping Centre, 86-88 Midsummer Blvd, Milton Keynes MK9 3GB, United Kingdom",,20,"midsummer, instagram_bio, outscraper",
Pret a Manger,https://midsummerplace.co.uk/business-directory/pret-a-manger,9:30am - 8:00pm,https://midsummer-place.transforms.svdcdn.com/production/assets/images/Logos/Pret-Logo-202-FINAL-2019.png?w=112&h=112&q=90&fm=webp&fit=clip&dm=1701268322&s=029b3e4d6d19a6457997874271b823cf,https://www.pret.co.uk/en-GB,,,,,,https://www.facebook.com/pretamanger,https://www.instagram.com/pret,https://twitter.com/pret,,,"Midsummer Place Shopping Centre, 86-88 Midsummer Blvd, Milton Keynes MK9 3GB, United Kingdom",,20,"midsummer, instagram_bio, outscraper",
LUKE 1977,https://midsummerplace.co.uk/business-directory/luke-1977,9:30am - 8:00pm,https://midsummer-place.transforms.svdcdn.com/production/assets/images/Logos/luke-logo.jpg?w=112&h=112&q=90&fm=webp&fit=clip&dm=1708961984&s=9a233156f38c2021d0e490a45cc451b6,https://www.luke1977.com/,,,,+44 1280 853695,google_maps,https://www.facebook.com/Luke1977Clothing,https://www.instagram.com/LUKE1977OFFICIAL,https://twitter.com/LukeRoper,,,"67 Midsummer Blvd, Milton Keynes MK9 3GB, United Kingdom",,30,"midsummer, instagram_bio, outscraper",
Iconic Cuts,https://midsummerplace.co.uk/business-directory/iconic-cuts,10:00am - 8:00pm,https://midsummer-place.transforms.svdcdn.com/production/assets/images/Logos/Iconic-Cuts-Logo-v1.jpg?w=112&h=112&q=90&fm=webp&fit=clip&dm=1694706145&s=3fa4cf3e2929847581413d53e2c07433,http://www.iconiccutsbarber.com/,,,,+44 1908 107553,google_maps,https://www.facebook.com/IconicCuts-Barbers,https://www.instagram.com/iconic_cuts_barbers,,,,"35 A, Midsummer Place Shopping Centre, Milton Keynes MK9 3GB, United Kingdom",,30,"midsummer, instagram_bio, outscraper",
Zara,https://midsummerplace.co.uk/business-directory/zara,9:30am - 8:00pm,https://midsummer-place.transforms.svdcdn.com/production/assets/images/Logos/Zara-main-image-for-website-v1637925514.png?w=112&h=112&q=90&fm=webp&fit=clip&dm=1666088155&s=f1c45c7a5ad10921b163034a6e762d46,,,,,,,,,,,,,,0,,
Waterstones,https://midsummerplace.co.uk/business-directory/waterstones,9:00am - 8:00pm,https://midsummer-place.transforms.svdcdn.com/production/assets/images/Logos/Waterstones-main-image-for-website-v1637925240.png?w=112&h=112&q=90&fm=webp&fit=clip&dm=1666088154&s=6bf0d2409285a832049708af7f496a61,https://www.waterstones.com/bookshops/milton-keynes,,,,+44 1908 395384,google_maps,https://www.facebook.com/mkwaterstones,,,,,"72 Midsummer Blvd, Milton Keynes MK9 3GA, United Kingdom",,20,"midsummer, outscraper",
Toni & Guy,https://midsummerplace.co.uk/business-directory/toni-guy,9:00am - 6:00pm,https://midsummer-place.transforms.svdcdn.com/production/assets/images/Logos/Toni-Guy-main-image-for-website-v1637865405.png?w=112&h=112&q=90&fm=webp&fit=clip&dm=1666088153&s=4b9a79f0b3e3d5b36808131999573d6d,,,,,,,https://www.facebook.com/toniandguyworld,https://www.instagram.com/toniandguyworld,https://twitter.com/toniandguyworld,,,,,10,"midsummer, instagram_bio",
Timberland,https://midsummerplace.co.uk/business-directory/timberland,9:30am - 7:00pm,https://midsummer-place.transforms.svdcdn.com/production/assets/images/Logos/Timberland-main-image-for-website-v1637852406.png?w=112&h=112&q=90&fm=webp&fit=clip&dm=1666088152&s=e7891207c64797e6af5270491191d004,,,,,,,https://www.facebook.com/TimberlandEU,https://www.instagram.com/timberland_eu,https://twitter.com/timberland_eu,,,,,10,"midsummer, instagram_bio",
Superdry,https://midsummerplace.co.uk/business-directory/superdry,9:30am - 8:00pm,https://midsummer-place.files.svdcdn.com/production/assets/images/Logos/SuperdryCo-Hero-Brand-Mark-RGB-PRIMARY-Full-Stack-Black.svg?dm=1760448682,https://stores.superdry.com/gb/milton-keynes/unit-su15/16%3Futm_source%3DGoogle%26utm_medium%3DYext,,,,+44 1908 605126,google_maps,https://www.facebook.com/Superdry,https://www.instagram.com/superdry,https://twitter.com/superdry,,,"Unit SU15, 16 Midsummer Blvd, Milton Keynes MK9 3GB, United Kingdom",,30,"midsummer, instagram_bio, outscraper",
Starbucks,https://midsummerplace.co.uk/business-directory/starbucks,6:30am - 7:00pm,https://midsummer-place.transforms.svdcdn.com/production/assets/images/Logos/thumb_5146_logo_retailer_1x-v1605638274.png?w=112&h=112&q=90&fm=webp&fit=clip&dm=1666088149&s=c45c4292597a97ee4ec6b72098ee8f91,https://www.starbucks.co.uk/store-locator/12154,,,,+44 1908 661894,google_maps,,,,,,"Midsummer Blvd, Milton Keynes MK9 3AG, United Kingdom",,20,outscraper,
Sports Direct,https://midsummerplace.co.uk/business-directory/sports-direct,9:00am - 8:00pm,https://midsummer-place.transforms.svdcdn.com/production/assets/images/Logos/Sports-Direct-main-image-for-website-v1637923637.png?w=112&h=112&q=90&fm=webp&fit=clip&dm=1666088148&s=bfe4e8d2ae2458796e885152f4794f04,,,,,+44 344 332 5130,google_maps,,,,,,"Midsummer Place Shopping Centre, Milton Keynes MK9 3GA, United Kingdom",,10,outscraper,
schuh,https://midsummerplace.co.uk/business-directory/schuh,10:00am - 8:00pm,https://midsummer-place.transforms.svdcdn.com/production/assets/images/Logos/schuh-main-image-for-website-v1637753395.png?w=112&h=112&q=90&fm=webp&fit=clip&dm=1666088147&s=f5a8c1fdca65c940f69d240f535c7e60,https://www.schuh.co.uk/stores/milton-keynes/,,,,+44 1908 886738,google_maps,https://www.facebook.com/schuhshoes,https://www.instagram.com/schuh,https://twitter.com/schuh,,,"Unit 28, Midsummer Place Shopping Centre, Midsummer Blvd, Milton Keynes MK9 3GA, United Kingdom",,30,"midsummer, instagram_bio, outscraper",
New Look,https://midsummerplace.co.uk/business-directory/new-look,9:30am - 8:00pm,https://midsummer-place.transforms.svdcdn.com/production/assets/images/Logos/New-Look-main-image-for-website-v1637850305.png?w=112&h=112&q=90&fm=webp&fit=clip&dm=1666088146&s=30d741b31b04892df5fbf6a683596f30,https://www.newlook.com/uk/store/Milton-Keynes-Milton-Keynes-GB-1625%3Fy_source%3D1_ODM0NjMzOS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%253D%253D,,,,+44 1908 309754,google_maps,,,,,,"14 Midsummer Blvd, Milton Keynes MK9 3GA, United Kingdom",,20,outscraper,
Mr Pretzels,https://midsummerplace.co.uk/business-directory/mr-pretzels,9:30am - 8:00pm,https://midsummer-place.transforms.svdcdn.com/production/assets/images/Logos/Mr-Pretzels-main-image-for-website-v1637928632.png?w=112&h=112&q=90&fm=webp&fit=clip&dm=1666088145&s=ced0aababb88afc068dc757fe833aa08,https://www.mrpretzelsuk.com/,,,,+44 1908 673536,google_maps,,,,,,"Unit 8 Midsummer Blvd, Milton Keynes MK9 3GB, United Kingdom",,20,outscraper,
Levi’s®,https://midsummerplace.co.uk/business-directory/levis,9:30am - 8:00pm,https://midsummer-place.transforms.svdcdn.com/production/assets/images/Logos/Levis-main-image-for-website-v1637753192.png?w=112&h=112&q=90&fm=webp&fit=clip&dm=1666088144&s=7e9efbcef47ad0fb0fab1a82e8dbe850,https://locations.levi.com/en-gb/gb-mik/centralmiltonkeynes/denim_central-milton-keynes_gb-mik_4049.html,,,,+44 1908 607715,google_maps,,,,,,"unit 22, 67 Midsummer Blvd, Milton Keynes MK9 3GB, United Kingdom",,20,outscraper,
LEGO,https://midsummerplace.co.uk/business-directory/lego,9:30am - 8:00pm,https://midsummer-place.transforms.svdcdn.com/production/assets/images/Logos/LEGO-main-image-for-website-v1637921569.png?w=112&h=112&q=90&fm=webp&fit=clip&dm=1666088143&s=b3aeae496622c81f9c99ac7639e89b7b,https://www.lego.com/en-gb/stores/stores/uk/milton-keynes%3Futm_source%3DGoogle%26utm_medium%3DYext%26y_source%3D1_MTY2ODY3MzMtNzE1LWxvY2F0aW9uLndlYnNpdGU%253D,,,,+44 1908 875618,google_maps,https://www.facebook.com/LEGO,https://www.instagram.com/lego,https://twitter.com/LEGO_Group,,,"33 Midsummer Blvd, Milton Keynes MK9 3GB, United Kingdom",,30,"midsummer, instagram_bio, outscraper",
HSBC,https://midsummerplace.co.uk/business-directory/hsbc,9:30am - 4:30pm,https://midsummer-place.transforms.svdcdn.com/production/assets/images/Logos/hsbclogo-140619.p3q7yj-v1605638274.png?w=112&h=112&q=90&fm=webp&fit=clip&dm=1666088142&s=94d66de50d174ee5b1a6cf831ac34416,,,,,+44 345 740 4404,google_maps,https://www.facebook.com/HSBCUK,https://www.instagram.com/hsbc,https://twitter.com/HSBC,,,"19 Midsummer Blvd, Milton Keynes MK9 3GB, United Kingdom",,20,"midsummer, instagram_bio, outscraper",
Hollister,https://midsummerplace.co.uk/business-directory/hollister,9:30am - 8:00pm,https://midsummer-place.transforms.svdcdn.com/production/assets/images/Logos/Hollister-main-image-for-website-v1637752593.png?w=112&h=112&q=90&fm=webp&fit=clip&dm=1666088141&s=fa4a5cab7bcbdc13811b173daccde928,https://www.hollisterco.com/shop/us/clothing-stores/US/MiltonKeynes/GB/31773,,,,+44 1908 735458,google_maps,,,,,,"29, 31 Midsummer Blvd, Milton Keynes MK9 3GB, United Kingdom",,20,outscraper,
Foot Locker,https://midsummerplace.co.uk/business-directory/foot-locker,9:30am - 8:00pm,https://midsummer-place.transforms.svdcdn.com/production/assets/images/Logos/FL-StriperLogo_Black_CMYK-319x319.png?w=112&h=112&q=90&fm=webp&fit=clip&dm=1739965597&s=85ed5f8ff4f22a05fda9db5e5fc6e6cc,,,,,+44 1908 733709,google_maps,,,,,,"Unit 7, 22 Midsummer Blvd, Milton Keynes MK9 3GA, United Kingdom",,10,outscraper,
Charles Clinkard,https://midsummerplace.co.uk/business-directory/charles-clinkard,9:30am - 6:00pm,https://midsummer-place.transforms.svdcdn.com/production/assets/images/Logos/Charles-Clinkard-main-image-for-website-v1649770016.png?w=112&h=112&q=90&fm=webp&fit=clip&dm=1666088138&s=ac24a57eef758efa78f354ff4354b8c9,https://www.charlesclinkard.co.uk/map/milton-keynes%3Fy_source%3D1_MTI5Nzg1NjgtNzE1LWxvY2F0aW9uLndlYnNpdGU%253D,,,,+44 1908 776096,google_maps,,,,,,"Unit SU35, 52 Midsummer Blvd, Milton Keynes MK9 3GA, United Kingdom",,20,outscraper,
BOSS,https://midsummerplace.co.uk/business-directory/boss,9:30am - 8:00pm,https://midsummer-place.transforms.svdcdn.com/production/assets/images/Logos/BOSS-main-image-for-website-v1640015699.png?w=112&h=112&q=90&fm=webp&fit=clip&dm=1666088136&s=cdb5e0a24aebd29a4a287addd3ba0505,,,,,,,,,,,,,,0,,
Apple,https://midsummerplace.co.uk/business-directory/apple-store,9:30am - 8:00pm,https://midsummer-place.transforms.svdcdn.com/production/assets/images/Logos/Apple-v1636647630_2022-10-18-101535_kcls.png?w=112&h=112&q=90&fm=webp&fit=clip&dm=1666088135&s=ebff5039db9e26561da4eb4baaa59aab,https://www.apple.com/uk/retail/miltonkeynes%3Fcid%3Daos-gb-seo-maps,,,,+44 1908 856650,google_maps,,,,,,"32, Midsummer Place Shopping Centre, Midsummer Blvd, Milton Keynes MK9 3GA, United Kingdom",,20,outscraper,
Souv-Lucky Day Greek Gyros,https://midsummerplace.co.uk/business-directory/souv-lucky-day-greek-gyros,10:30am - 6:30pm,https://midsummer-place.transforms.svdcdn.com/production/assets/images/Logos/Souv-Lucky-logo_2021-05-17-105756-v1621249077.png?w=112&h=112&q=90&fm=webp&fit=clip&dm=1666088135&s=bbcbc10eea7e51f8332c0841ae9c3656,https://souvluckyday.wixsite.com/website,souv_luckyday@yahoo.com,,website,+44 7734 050474,google_maps,https://www.facebook.com/SouvLuckyday,https://www.instagram.com/souv_luckyday,,,,"5 Midsummer Blvd, Milton Keynes MK9 3GB, United Kingdom",,55,"midsummer, instagram_bio, outscraper, website",
Blue Inc,https://midsummerplace.co.uk/business-directory/blue-inc,9:30am - 8:00pm,https://midsummer-place.transforms.svdcdn.com/production/assets/images/Logos/Blue-inc-2.png?w=112&h=112&q=90&fm=webp&fit=clip&dm=1667065304&s=5c622bb1b64de2cb9d9131cff8c761fa,,,,,,,,,,,,"32, 32 Midsummer Blvd, Milton Keynes MK9 3GB, United Kingdom",,0,outscraper,
Suit Direct,https://midsummerplace.co.uk/business-directory/suit-direct,9:30am - 8:00pm,https://midsummer-place.transforms.svdcdn.com/production/assets/images/Logos/Suit-direct-logo-Black.png?w=112&h=112&q=90&fm=webp&fit=clip&dm=1702991424&s=03fef72ca8a9c4cb45930424a02f9c64,https://www.suitdirect.co.uk/,info@suitdirect.co.uk,,website,+44 1908 663351,google_maps,https://www.facebook.com/SuitDirect,https://www.instagram.com/suitdirectuk,https://twitter.com/suitdirect,,,"Midsummer Place Shopping Centre, 67 Midsummer Palace, Milton Keynes MK9 3GB, United Kingdom",,55,"midsummer, instagram_bio, outscraper, website",
Off the Record,https://midsummerplace.co.uk/business-directory/off-the-record,10:00am - 6:00pm,https://midsummer-place.transforms.svdcdn.com/production/assets/images/Logos/Off-the-Record-logo.png?w=112&h=112&q=90&fm=webp&fit=clip&dm=1692517879&s=81ef688210025132ce505609933100e1,https://willen-hospice.org.uk/shops/off-the-record/,offtherecord@willen-hospice.org.uk,info@willen-hospice.org.uk; supportercare@willen-hospice.org.uk,website,+44 7729 045038,google_maps,https://www.facebook.com/willenhospicemk,https://www.instagram.com/willen_hospice,https://twitter.com/willenhospice,,,"67, Off The Record MK, Midsummer Place Shopping Centre, Milton Keynes MK9 3GB, United Kingdom",,55,"midsummer, instagram_bio, outscraper, website",
Lebanese Grill House,https://midsummerplace.co.uk/business-directory/lebanese-grill-house,9:30am - 8:00pm,https://midsummer-place.transforms.svdcdn.com/production/assets/images/Logos/Lebanese-Grill-House-Logo-2-540x540.jpg?w=112&h=112&q=90&fm=webp&fit=clip&dm=1683716500&s=b0c46b1f325a805ae4af8595d2847153,,,,,+44 7577 151312,google_maps,,,,,,"Midsummer Blvd, Milton Keynes MK9 3AG, United Kingdom",,10,outscraper,
Panda Woo,https://midsummerplace.co.uk/business-directory/panda-woo,11:00am - 8:00pm,https://midsummer-place.transforms.svdcdn.com/production/assets/images/Logos/Panda-Woo-Socials_Instagram-V2_2023-07-28-105439_sary.png?w=112&h=112&q=90&fm=webp&fit=clip&dm=1690541679&s=5a8fece5912e109883ef37d494e65ba1,,,,,,,,https://www.instagram.com/pandawoo_mk,,,,,,10,"midsummer, instagram_bio",
Jerk N Rum,https://midsummerplace.co.uk/business-directory/jerk-n-rum,11:00am - 9:00pm,https://midsummer-place.transforms.svdcdn.com/production/assets/images/Logos/Jerk-N-Rum-Logo-1500-x-1320-City-Centre-Website.png?w=112&h=112&q=90&fm=webp&fit=clip&dm=1684230109&s=8008d43f194252c694aac3e918c0a37d,,,,,,,https://www.facebook.com/JerknRum,https://www.instagram.com/jerknrum,,,,"5 Midsummer Blvd, Milton Keynes MK9 3GB, United Kingdom",,10,"midsummer, instagram_bio, outscraper",
Navara Beauty Salon,https://midsummerplace.co.uk/business-directory/navara-beauty-salon,9:30am - 6:30pm,https://midsummer-place.transforms.svdcdn.com/production/assets/images/Logos/Navara-logo-for-salon.png?w=112&h=112&q=90&fm=webp&fit=clip&dm=1682334346&s=9dd604485346dce30c3eca28b1fe257a,https://about.meta.com/,,,,04639352628,instagram,https://www.facebook.com/profile.php,https://www.instagram.com/navarabeauty_uk,,,,"Unit 25, 53, Opposite Victoria's Secret, Midsummer Place Shopping Centre, Milton Keynes MK9 3GB, United Kingdom",,40,"midsummer, instagram_bio, outscraper",
Ping Pong Parlour,https://midsummerplace.co.uk/business-directory/ping-pong-parlour,9:30am - 8:00pm,https://midsummer-place.transforms.svdcdn.com/production/assets/images/Logos/Ping-Pong-Parlour.png?w=112&h=112&q=90&fm=webp&fit=clip&dm=1670323835&s=e60d69a01ffc27636f3423771b6b992a,https://www.mkttl.co.uk/venues/milton-keynes-table-tennis-centre,,,,+44 1908 282156,google_maps,,,,,,"14 Winchester Cir, Kingston, Milton Keynes MK10 0BA, United Kingdom",,20,outscraper,
Londis,https://midsummerplace.co.uk/business-directory/londis,9:30am - 8:00pm,https://midsummer-place.transforms.svdcdn.com/production/assets/images/Logos/londis-logo-1500-x-1320.jpg?w=112&h=112&q=90&fm=webp&fit=clip&dm=1675355431&s=3013c9cb2f8fe126317512e974692e23,,,,,,,,,,,,,,0,,
Cavani,https://midsummerplace.co.uk/business-directory/cavani,9:30am - 8:00pm,https://midsummer-place.transforms.svdcdn.com/production/assets/images/Logos/Logo-Navy.jpg?w=112&h=112&q=90&fm=webp&fit=clip&dm=1669283090&s=3e453f37de339be76fffa9a998668522,https://www.cavanimiltonkeynes.co.uk/,info@cavanimiltonkeynes.co.uk,,website,+44 1908 840314,google_maps,https://www.facebook.com/cavanimiltonkeynes,https://www.instagram.com/cavani.miltonkeynes,,,,"45, Midsummer Place Shopping Centre, Milton Keynes MK9 3GB, United Kingdom",,55,"midsummer, instagram_bio, outscraper, website",
Churros Locos,https://midsummerplace.co.uk/business-directory/churros-mexicanos,10:30am - 7:00pm,https://midsummer-place.transforms.svdcdn.com/production/assets/images/Logos/Churros-Locos-Standard-Lockup-CMYK.jpg?w=112&h=112&q=90&fm=webp&fit=clip&dm=1681898204&s=360326165aba2bacb153ed43cb682078,,,,,+44 7469 477212,google_maps,https://www.facebook.com/ChurrosFreshlyMade,https://www.instagram.com/churrosfreshlymade,,,,"Midsummer Blvd, Milton Keynes MK9 3GB, United Kingdom",,20,"midsummer, instagram_bio, outscraper",
Mobile Bitz,https://midsummerplace.co.uk/business-directory/mobile-bitz,9:30am - 8:00pm,https://midsummer-place.transforms.svdcdn.com/production/assets/images/Logos/mobilebitz0719.mtqvss-v1605638274.png?w=112&h=112&q=90&fm=webp&fit=clip&dm=1666088168&s=92f197e7959a2ab50a63e3991c9f6a89,https://mobilebitz.co.uk/,,,,+44 1908 477593,google_maps,,,,,,"INTU, Midsummer Place, Milton Keynes MK9 3GB, United Kingdom",,20,outscraper,
The Dutch Hospital,https://midsummerplace.co.uk/business-directory/the-dutch-hospital,9:30am - 8:00pm,https://midsummer-place.transforms.svdcdn.com/production/assets/images/Logos/Dutch-Hospital-540x250px-v1651826348.jpg?w=112&h=112&q=90&fm=webp&fit=clip&dm=1666088167&s=049edde8574d26dd4d83242bc5ae2193,,,,,,,https://www.facebook.com/thedutchhospitalUK,https://www.instagram.com/thedutchhospital,https://twitter.com/dutch_hospital,,,,,10,"midsummer, instagram_bio",
The Car Wash Co.,https://midsummerplace.co.uk/business-directory/the-car-wash-co,9:30am - 8:00pm,https://midsummer-place.transforms.svdcdn.com/production/assets/images/Logos/the-carwash-co-logo.nsm4v6-v1605638274.png?w=112&h=112&q=90&fm=webp&fit=clip&dm=1666088164&s=e6087c58c97a329b625e02860010f129,https://instagram.com/thecarwashcompanymiltonkeynes%3Figshid%3DNTc4MTIwNjQ2YQ%3D%3D,,,,+44 7737 118787,google_maps,https://www.facebook.com/thecarwashcompanygb,https://www.instagram.com/thecarwashcompanygb,,,,"Marlborough Gate, Milton Keynes MK9 3EP, United Kingdom",,30,"midsummer, instagram_bio, outscraper",
Eurochange,https://midsummerplace.co.uk/business-directory/eurochange,9:30am - 6:00pm,https://midsummer-place.transforms.svdcdn.com/production/assets/images/Logos/eurochange.jx34d4-v1605638274.png?w=112&h=112&q=90&fm=webp&fit=clip&dm=1666088163&s=ce325f466cd11962fbb9990f2abf2495,,,,,+44 1908 229413,google_maps,,,,,,"86-88 Midsummer Blvd, Milton Keynes MK9 3GB, United Kingdom",,10,outscraper,
Dr Martens,https://midsummerplace.co.uk/business-directory/dr-martens,9:30am - 8:00pm,https://midsummer-place.transforms.svdcdn.com/production/assets/images/Logos/Dr-Martens-Main-image-for-website-v1637839438.png?w=112&h=112&q=90&fm=webp&fit=clip&dm=1666088161&s=1e0e62db8a77ce1a0fffc77862db3a28,,,,,,,,,,,,,,0,,
Victoria's Secret,https://midsummerplace.co.uk/business-directory/victorias-secret,9:30am - 8:00pm,https://midsummer-place.transforms.svdcdn.com/production/assets/images/Logos/Victorias-Secret-main-image-for-website-v1637851839.png?w=112&h=112&q=90&fm=webp&fit=clip&dm=1666088161&s=7848041937616d30017d28eafefd2938,,,,,,,,https://www.instagram.com/victoriassecretuk,,,,,,10,"midsummer, instagram_bio",
Tesla,https://midsummerplace.co.uk/business-directory/tesla,10:00am - 5:00pm,https://midsummer-place.transforms.svdcdn.com/production/assets/images/Logos/thumb_31954_logo_retailer_1x-v1605638274.png?w=112&h=112&q=90&fm=webp&fit=clip&dm=1666088160&s=017525ae6b5bb06a9eccad8fcf9dca04,,,,,,,,,,,,,,0,,
