"attachment-medium src","brand__img","brand__title","brand__info","js-open-model href","brand__times","brand__times 2","brand__times 3","brand__times 4","brand__times 5","brand__times 6","brand__times 7","brand__info 2","brand__info href","brand__info 3","brand__info href 2"
"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIyOTgiIGhlaWdodD0iMzAwIiB2aWV3Qm94PSIwIDAgMjk4IDMwMCI+PHJlY3Qgd2lkdGg9IjEwMCUiIGhlaWdodD0iMTAwJSIgc3R5bGU9ImZpbGw6I2NmZDRkYjtmaWxsLW9wYWNpdHk6IDAuMTsiLz48L3N2Zz4=","<img width=""298"" height=""300"" src=""https://www.chathamdockside.co.uk/wp-content/uploads/2018/12/CLASS-01-298x300.png"" class=""attachment-medium size-medium wp-post-image"" alt="""" decoding=""async"" srcset=""https://www.chathamdockside.co.uk/wp-content/uploads/2018/12/CLASS-01-298x300.png 298w, https://www.chathamdockside.co.uk/wp-content/uploads/2018/12/CLASS-01-1018x1024.png 1018w, https://www.chathamdockside.co.uk/wp-content/uploads/2018/12/CLASS-01-150x150.png 150w, https://www.chathamdockside.co.uk/wp-content/uploads/2018/12/CLASS-01-768x773.png 768w, https://www.chathamdockside.co.uk/wp-content/uploads/2018/12/CLASS-01-1527x1536.png 1527w, https://www.chathamdockside.co.uk/wp-content/uploads/2018/12/CLASS-01-2036x2048.png 2036w, https://www.chathamdockside.co.uk/wp-content/uploads/2018/12/CLASS-01-575x578.png 575w"" sizes=""(max-width: 298px) 100vw, 298px"" />","Class Menswear","10:00 - 18:00 today					()","https://www.chathamdockside.co.uk/stores/#brand__times-249","Monday: 10:00 - 18:00","Tuesday: 10:00 - 18:00","Wednesday: 10:00 - 18:00","Thursday: 10:00 - 19:00","Friday: 10:00 - 19:00","Saturday: 09:00 - 18:00","Sunday: 11:00 - 17:00","01634891495","tel:01634891495","View website","https://www.classmenswear.com/"
"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIyODQiIGhlaWdodD0iMTkwIiB2aWV3Qm94PSIwIDAgMjg0IDE5MCI+PHJlY3Qgd2lkdGg9IjEwMCUiIGhlaWdodD0iMTAwJSIgc3R5bGU9ImZpbGw6I2NmZDRkYjtmaWxsLW9wYWNpdHk6IDAuMTsiLz48L3N2Zz4=","<img width=""284"" height=""190"" src=""https://www.chathamdockside.co.uk/wp-content/uploads/2018/12/cotton-traders.png"" class=""attachment-medium size-medium wp-post-image"" alt="""" decoding=""async"" />","Cotton Traders","10:00 - 18:00 today					()","https://www.chathamdockside.co.uk/stores/#brand__times-270","Monday: 10:00 - 18:00","Tuesday: 10:00 - 18:00","Wednesday: 10:00 - 18:00","Thursday: 10:00 - 19:00","Friday: 10:00 - 19:00","Saturday: 9:00 - 19:00","Sunday: 11:00 - 17:00","01634 892 960","tel:01634 892 960","View website","https://www.cottontraders.com/"
"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIyMDUiIGhlaWdodD0iMjE3IiB2aWV3Qm94PSIwIDAgMjA1IDIxNyI+PHJlY3Qgd2lkdGg9IjEwMCUiIGhlaWdodD0iMTAwJSIgc3R5bGU9ImZpbGw6I2NmZDRkYjtmaWxsLW9wYWNpdHk6IDAuMTsiLz48L3N2Zz4=","<img width=""205"" height=""217"" src=""https://www.chathamdockside.co.uk/wp-content/uploads/2019/02/dockside-nursery.jpg"" class=""attachment-medium size-medium wp-post-image"" alt="""" decoding=""async"" />","Dockside Day Nursery","7:00 - 19:00 today					()","https://www.chathamdockside.co.uk/stores/#brand__times-339","Monday: 7:00 - 19:00","Tuesday: 7:00 - 19:00","Wednesday: 7:00 - 19:00","Thursday: 7:00 - 19:00","Friday: 7:00 - 19:00","Saturday: Closed","Sunday: Closed","01634 258 235","tel:01634 258 235","View website","http://www.docksidenursery.co.uk/"
"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIyOTciIGhlaWdodD0iMjkiIHZpZXdCb3g9IjAgMCAyOTcgMjkiPjxyZWN0IHdpZHRoPSIxMDAlIiBoZWlnaHQ9IjEwMCUiIHN0eWxlPSJmaWxsOiNjZmQ0ZGI7ZmlsbC1vcGFjaXR5OiAwLjE7Ii8+PC9zdmc+","<img width=""297"" height=""29"" src=""https://www.chathamdockside.co.uk/wp-content/uploads/2018/12/holland-barrett.jpg"" class=""attachment-medium size-medium wp-post-image"" alt="""" decoding=""async"" />","Holland & Barrett","10:00 - 18:00 today					()","https://www.chathamdockside.co.uk/stores/#brand__times-290","Monday: 10:00 - 18:00","Tuesday: 10:00 - 18:00","Wednesday: 10:00 - 18:00","Thursday: 10:00 - 19:00","Friday: 10:00 - 19:00","Saturday: 9:00 - 19:00","Sunday: 11:00 - 17:00","01634 893 442","tel:01634 893 442","View website","https://www.hollandandbarrett.com/"
"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIzMDAiIGhlaWdodD0iNzEiIHZpZXdCb3g9IjAgMCAzMDAgNzEiPjxyZWN0IHdpZHRoPSIxMDAlIiBoZWlnaHQ9IjEwMCUiIHN0eWxlPSJmaWxsOiNjZmQ0ZGI7ZmlsbC1vcGFjaXR5OiAwLjE7Ii8+PC9zdmc+","<img width=""300"" height=""71"" src=""https://www.chathamdockside.co.uk/wp-content/uploads/2018/12/home-plus-300x71.jpg"" class=""attachment-medium size-medium wp-post-image"" alt="""" decoding=""async"" srcset=""https://www.chathamdockside.co.uk/wp-content/uploads/2018/12/home-plus-300x71.jpg 300w, https://www.chathamdockside.co.uk/wp-content/uploads/2018/12/home-plus.jpg 538w"" sizes=""(max-width: 300px) 100vw, 300px"" />","Home Plus Furniture","9:00 - 18:00 today					()","https://www.chathamdockside.co.uk/stores/#brand__times-258","Monday: 9:00 - 18:00","Tuesday: 9:00 - 18:00","Wednesday: 9:00 - 18:00","Thursday: 9:00 - 18:00","Friday: 9:00 - 18:00","Saturday: 9:00 - 18:00","Sunday: 10:00 - 17:00","01634 891306","tel:01634 891306","View website","https://homeplusfurniture.com/"
"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIzMDAiIGhlaWdodD0iNzEiIHZpZXdCb3g9IjAgMCAzMDAgNzEiPjxyZWN0IHdpZHRoPSIxMDAlIiBoZWlnaHQ9IjEwMCUiIHN0eWxlPSJmaWxsOiNjZmQ0ZGI7ZmlsbC1vcGFjaXR5OiAwLjE7Ii8+PC9zdmc+","<img width=""300"" height=""71"" src=""https://www.chathamdockside.co.uk/wp-content/uploads/2020/09/Iceland-Logo-pdf-300x71.jpg"" class=""attachment-medium size-medium wp-post-image"" alt="""" decoding=""async"" />","Iceland","09:00 - 20:00 today					()","https://www.chathamdockside.co.uk/stores/#brand__times-664","Monday: 09:00 - 20:00","Tuesday: 09:00 - 20:00","Wednesday: 09:00 - 20:00","Thursday: 09:00 - 20:00","Friday: 09:00 - 20:00","Saturday: 09:00 - 19:00","Sunday: 11:00 - 17:00","01634892468","tel:01634892468","View website","https://www.therange.co.uk/"
"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIzMDAiIGhlaWdodD0iOTIiIHZpZXdCb3g9IjAgMCAzMDAgOTIiPjxyZWN0IHdpZHRoPSIxMDAlIiBoZWlnaHQ9IjEwMCUiIHN0eWxlPSJmaWxsOiNjZmQ0ZGI7ZmlsbC1vcGFjaXR5OiAwLjE7Ii8+PC9zdmc+","<img width=""300"" height=""92"" src=""https://www.chathamdockside.co.uk/wp-content/uploads/2020/09/JJ-Kitchen-showroom-logo-Wide-pdf-300x92.jpg"" class=""attachment-medium size-medium wp-post-image"" alt="""" decoding=""async"" />","Jonas & James","09:00 - 20:00 today					()","https://www.chathamdockside.co.uk/stores/#brand__times-666","Monday: 09:00 - 20:00","Tuesday: 09:00 - 20:00","Wednesday: 09:00 - 20:00","Thursday: 09:00 - 20:00","Friday: 09:00 - 20:00","Saturday: 09:00 - 19:00","Sunday: 11:00 - 17:00","01634892469","tel:01634892469","View website","https://www.therange.co.uk/"
"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIzMDAiIGhlaWdodD0iNzUiIHZpZXdCb3g9IjAgMCAzMDAgNzUiPjxyZWN0IHdpZHRoPSIxMDAlIiBoZWlnaHQ9IjEwMCUiIHN0eWxlPSJmaWxsOiNjZmQ0ZGI7ZmlsbC1vcGFjaXR5OiAwLjE7Ii8+PC9zdmc+","<img width=""300"" height=""75"" src=""https://www.chathamdockside.co.uk/wp-content/uploads/2018/12/julian-charles-300x75.png"" class=""attachment-medium size-medium wp-post-image"" alt="""" decoding=""async"" srcset=""https://www.chathamdockside.co.uk/wp-content/uploads/2018/12/julian-charles-300x75.png 300w, https://www.chathamdockside.co.uk/wp-content/uploads/2018/12/julian-charles.png 535w"" sizes=""(max-width: 300px) 100vw, 300px"" />","Julian Charles","10:00 - 18:00 today					()","https://www.chathamdockside.co.uk/stores/#brand__times-254","Monday: 10:00 - 18:00","Tuesday: 10:00 - 18:00","Wednesday: 10:00 - 18:00","Thursday: 10:00 - 18:00","Friday: 10:00 - 18:00","Saturday: 10:00 - 18:00","Sunday: 11:00 - 17:00","01634 561360","tel:01634 561360","View website","https://www.juliancharles.co.uk/"
"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIzMDAiIGhlaWdodD0iMTA5IiB2aWV3Qm94PSIwIDAgMzAwIDEwOSI+PHJlY3Qgd2lkdGg9IjEwMCUiIGhlaWdodD0iMTAwJSIgc3R5bGU9ImZpbGw6I2NmZDRkYjtmaWxsLW9wYWNpdHk6IDAuMTsiLz48L3N2Zz4=","<img width=""300"" height=""109"" src=""https://www.chathamdockside.co.uk/wp-content/uploads/2019/09/klass_logo_white-2-300x109.jpg"" class=""attachment-medium size-medium wp-post-image"" alt="""" decoding=""async"" srcset=""https://www.chathamdockside.co.uk/wp-content/uploads/2019/09/klass_logo_white-2-300x109.jpg 300w, https://www.chathamdockside.co.uk/wp-content/uploads/2019/09/klass_logo_white-2-1024x373.jpg 1024w, https://www.chathamdockside.co.uk/wp-content/uploads/2019/09/klass_logo_white-2-768x280.jpg 768w, https://www.chathamdockside.co.uk/wp-content/uploads/2019/09/klass_logo_white-2-1536x560.jpg 1536w, https://www.chathamdockside.co.uk/wp-content/uploads/2019/09/klass_logo_white-2-2048x746.jpg 2048w, https://www.chathamdockside.co.uk/wp-content/uploads/2019/09/klass_logo_white-2-575x210.jpg 575w"" sizes=""(max-width: 300px) 100vw, 300px"" />","Klass","10:00 - 18:00 today					()","https://www.chathamdockside.co.uk/stores/#brand__times-485","Monday: 10:00 - 18:00","Tuesday: 10:00 - 18:00","Wednesday: 10:00 - 18:00","Thursday: 10:00 - 18:00","Friday: 10:00 - 18:00","Saturday: 10:00 - 18:00","Sunday: 11:00 - 17:00","View website","http://www.klass.co.uk/","",""
"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIzMDAiIGhlaWdodD0iMTI4IiB2aWV3Qm94PSIwIDAgMzAwIDEyOCI+PHJlY3Qgd2lkdGg9IjEwMCUiIGhlaWdodD0iMTAwJSIgc3R5bGU9ImZpbGw6I2NmZDRkYjtmaWxsLW9wYWNpdHk6IDAuMTsiLz48L3N2Zz4=","<img width=""300"" height=""128"" src=""https://www.chathamdockside.co.uk/wp-content/uploads/2023/12/Unknown-300x128.jpeg"" class=""attachment-medium size-medium wp-post-image"" alt="""" decoding=""async"" srcset=""https://www.chathamdockside.co.uk/wp-content/uploads/2023/12/Unknown-300x128.jpeg 300w, https://www.chathamdockside.co.uk/wp-content/uploads/2023/12/Unknown-575x246.jpeg 575w, https://www.chathamdockside.co.uk/wp-content/uploads/2023/12/Unknown.jpeg 694w"" sizes=""(max-width: 300px) 100vw, 300px"" />","Luxe Nail Lounge","10:00 - 18:00 today					()","https://www.chathamdockside.co.uk/stores/#brand__times-75228","Monday: 10:00 - 18:00","Tuesday: 10:00 - 18:00","Wednesday: 10:00 - 18:00","Thursday: 10:00 - 19:00","Friday: 10:00 - 19:00","Saturday: 9:00 - 19:00","Sunday: 11:00 - 17:00","","","",""
"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIzMDAiIGhlaWdodD0iMzAwIiB2aWV3Qm94PSIwIDAgMzAwIDMwMCI+PHJlY3Qgd2lkdGg9IjEwMCUiIGhlaWdodD0iMTAwJSIgc3R5bGU9ImZpbGw6I2NmZDRkYjtmaWxsLW9wYWNpdHk6IDAuMTsiLz48L3N2Zz4=","<img width=""300"" height=""300"" src=""https://www.chathamdockside.co.uk/wp-content/uploads/2018/12/ms-outlet-300x300.png"" class=""attachment-medium size-medium wp-post-image"" alt="""" decoding=""async"" srcset=""https://www.chathamdockside.co.uk/wp-content/uploads/2018/12/ms-outlet-300x300.png 300w, https://www.chathamdockside.co.uk/wp-content/uploads/2018/12/ms-outlet-150x150.png 150w, https://www.chathamdockside.co.uk/wp-content/uploads/2018/12/ms-outlet-382x382.png 382w, https://www.chathamdockside.co.uk/wp-content/uploads/2018/12/ms-outlet.png 500w"" sizes=""(max-width: 300px) 100vw, 300px"" />","M&S Outlet","9:00 - 18:00 today					()","https://www.chathamdockside.co.uk/stores/#brand__times-302","Monday: 9:00 - 18:00","Tuesday: 9:00 - 18:00","Wednesday: 9:00 - 18:00","Thursday: 9:00 - 18:00","Friday: 9:00 - 18:00","Saturday: 9:00 - 18:00","Sunday: 11:00 - 17:00","01634 891 258","tel:01634 891 258","View website","https://www.marksandspencer.com/"
