date,geography,geography code,National Statistics Socio-economic Classification (NS-SEC): Total: All usual residents aged 16 years and over,"National Statistics Socio-economic Classification (NS-SEC): L1, L2 and L3 Higher managerial, administrative and professional occupations","National Statistics Socio-economic Classification (NS-SEC): L4, L5 and L6 Lower managerial, administrative and professional occupations",National Statistics Socio-economic Classification (NS-SEC): L7 Intermediate occupations,National Statistics Socio-economic Classification (NS-SEC): L8 and L9 Small employers and own account workers,National Statistics Socio-economic Classification (NS-SEC): L10 and L11 Lower supervisory and technical occupations,National Statistics Socio-economic Classification (NS-SEC): L12 Semi-routine occupations,National Statistics Socio-economic Classification (NS-SEC): L13 Routine occupations,National Statistics Socio-economic Classification (NS-SEC): L14.1 and L14.2 Never worked and long-term unemployed,National Statistics Socio-economic Classification (NS-SEC): L15 Full-time students
2021,South Kesteven,E07000141,118010,15386,25178,14216,13372,7171,14403,15518,7348,5418
2021,West Lindsey,E07000142,79117,8888,16652,9510,9171,5061,10182,9733,6293,3627
2021,Breckland,E07000143,117852,11099,22241,14015,14624,8158,16375,18728,8076,4536
2021,Broadland,E07000144,110508,13399,24109,15703,14154,6596,14000,11848,6016,4683
2021,Great Yarmouth,E07000145,82719,5323,13068,9099,9054,5875,13086,14833,8396,3985
2021,King's Lynn and West Norfolk,E07000146,128892,11602,23972,14941,16467,9078,18187,19941,9886,4818
2021,North Norfolk,E07000147,89143,8940,17320,9735,14306,5694,12781,11290,6101,2976
2021,Norwich,E07000148,120763,13311,21234,11592,10117,5844,14142,16459,9093,18971
2021,South Norfolk,E07000149,117219,16945,26143,14775,15352,6502,13613,12424,6106,5359
2021,Craven,E07000163,48284,7132,10931,5201,7676,2778,4995,5112,2519,1940
2021,Hambleton,E07000164,76986,11262,17862,8864,10807,4157,7988,8304,4561,3181
2021,Harrogate,E07000165,135304,23881,31491,15179,17580,6485,14108,12254,6860,7466
2021,Richmondshire,E07000166,41740,5076,9527,5225,5933,2602,4442,4695,2607,1633
2021,Ryedale,E07000167,46325,5846,9162,4432,7799,2959,5553,5974,2728,1872
2021,Scarborough,E07000168,92110,7711,17231,8924,12714,6931,13416,13328,7755,4100
2021,Selby,E07000169,75432,10628,16207,8741,8361,5192,8441,10152,4294,3416
2021,Ashfield,E07000170,102846,8149,17416,12013,8989,8178,15190,19176,9108,4627
2021,Bassetlaw,E07000171,97367,9174,18354,10500,9715,7108,13048,17105,8167,4196
2021,Broxtowe,E07000172,92540,13466,19276,11109,8003,5351,9852,11893,6383,7207
2021,Gedling,E07000173,96457,12416,21479,12715,9988,5665,11278,11503,6596,4817
2021,Mansfield,E07000174,90169,6770,14928,9800,8111,6897,13622,17531,8518,3992
2021,Newark and Sherwood,E07000175,101968,12096,20194,11336,10949,6620,12594,15105,7921,5153
2021,Rushcliffe,E07000176,97723,21153,24134,10900,9938,4011,7769,7293,5150,7375
2021,Cherwell,E07000177,130588,19677,27886,15588,13720,7961,15696,17028,6834,6198
2021,Oxford,E07000178,136718,24602,22355,9706,8134,4995,10709,11981,8020,36216
2021,South Oxfordshire,E07000179,121490,25696,28967,13918,14980,5790,10463,10335,5497,5844
2021,Vale of White Horse,E07000180,112427,23736,26501,13525,11602,5820,10084,9989,5237,5933
2021,West Oxfordshire,E07000181,93815,15870,22121,11577,11525,5407,9817,9179,4212,4107
2021,Mendip,E07000187,96051,11955,20788,9831,14294,5568,11667,11904,5175,4869
2021,Sedgemoor,E07000188,103781,10568,19044,11321,13058,7042,14427,16714,7026,4581
2021,South Somerset,E07000189,143816,16220,30343,17229,19059,9095,19358,18575,8003,5934
2021,Cannock Chase,E07000192,82477,6934,15477,9696,8647,6266,12023,13156,6579,3699
2021,East Staffordshire,E07000193,100508,10755,18138,10688,9931,6469,11899,19044,8099,5485
2021,Lichfield,E07000194,88596,13549,20374,10402,9839,4942,9506,10042,5777,4165
2021,Newcastle-under-Lyme,E07000195,103182,10704,19074,11936,9450,6439,12694,15857,7474,9554
2021,South Staffordshire,E07000196,93371,12228,20401,12304,10952,5668,10337,10620,6806,4055
2021,Stafford,E07000197,113615,16411,26738,14065,11449,6534,12318,13575,6990,5535
2021,Staffordshire Moorlands,E07000198,80858,8972,16319,9344,10670,5620,9820,11188,5202,3723
2021,Tamworth,E07000199,63791,5874,11242,7766,5344,4678,9281,11604,4766,3236
2021,Babergh,E07000200,77378,10277,16975,9414,10743,4370,9229,8531,4316,3523
2021,Ipswich,E07000202,111832,10572,20730,13832,9865,6834,16002,17849,9266,6882
2021,Mid Suffolk,E07000203,86307,11575,19430,10856,11951,4977,9589,9892,4369,3668
2021,Elmbridge,E07000207,108774,28225,26700,11470,13847,3351,7528,5623,5744,6286
2021,Epsom and Ewell,E07000208,64607,13468,15691,8253,7355,2473,5225,4018,3747,4377
2021,Guildford,E07000209,119356,23631,26289,13154,12715,4522,9304,7808,5377,16556
2021,Mole Valley,E07000210,72339,15204,17728,9025,9900,2946,5828,4353,3721,3634
2021,Reigate and Banstead,E07000211,120128,23374,29194,15935,14439,5089,10463,8482,7032,6120
2021,Runnymede,E07000212,72718,11589,15605,8469,7937,3222,6323,5674,4178,9721
2021,Spelthorne,E07000213,83362,12191,19039,12410,9139,4729,8232,7804,5618,4200
2021,Surrey Heath,E07000214,73784,14714,17998,9559,8318,3347,6803,5109,4039,3897
2021,Tandridge,E07000215,70826,13558,17143,9328,9585,2969,6028,4434,4046,3735
2021,Waverley,E07000216,103633,22912,25360,11308,13428,3858,8448,6266,4765,7288
2021,Woking,E07000217,82983,17964,18930,9833,9254,3473,7730,6068,5127,4604
2021,North Warwickshire,E07000218,53897,5724,10498,6518,6023,3784,6494,8467,3957,2432
2021,Nuneaton and Bedworth,E07000219,108587,9930,19691,13826,8896,7386,14740,18971,9528,5619
2021,Rugby,E07000220,92188,13523,19459,10631,8660,5303,9695,14523,5209,5185
2021,Stratford-on-Avon,E07000221,112639,20832,26130,12598,15495,5787,11002,10141,5739,4915
2021,Warwick,E07000222,123251,26532,26609,12724,11086,5403,10463,10338,6708,13388
2021,Adur,E07000223,52953,6223,11248,7045,7111,2963,6911,5265,3632,2555
2021,Arun,E07000224,139553,15100,28521,17585,18167,8628,19218,15984,9870,6480
2021,Chichester,E07000225,104710,16483,24175,11454,15392,5084,10666,8691,5996,6769
2021,Crawley,E07000226,93569,9861,16975,13116,8721,6105,12680,13287,7287,5537
2021,Horsham,E07000227,120663,21716,30204,15500,15679,5742,11612,8770,5662,5778
2021,Mid Sussex,E07000228,123315,23104,31121,16412,14715,5819,11854,8768,5399,6123
2021,Worthing,E07000229,92355,11954,20910,12636,11060,4953,11696,8603,5996,4547
2021,Bromsgrove,E07000234,81101,14265,19284,10026,9169,4310,7944,7047,4812,4244
2021,Malvern Hills,E07000235,67120,10950,15314,7479,9703,3427,7131,5932,3857,3327
2021,Redditch,E07000236,70251,7396,13494,8615,6571,4740,10330,10326,5302,3477
2021,Worcester,E07000237,85607,10201,17790,10187,7397,4897,10613,11287,5865,7370
2021,Wychavon,E07000238,110719,16595,23717,12952,14529,6249,12413,13023,6396,4845
2021,Wyre Forest,E07000239,84564,9054,16145,9950,9716,5567,11565,12129,6612,3826
2021,St Albans,E07000240,116091,30248,29548,12404,12297,3670,8175,6851,5751,7147
2021,Welwyn Hatfield,E07000241,97484,14703,19493,11191,9784,4436,9400,9235,5760,13482
2021,East Hertfordshire,E07000242,121152,22921,29634,15714,14756,5525,10606,9731,5877,6388
2021,Stevenage,E07000243,71236,8355,15060,9738,7159,4322,9081,8733,4873,3915
2021,East Suffolk,E07000244,206719,22922,42078,24998,25674,12939,28566,26516,14098,8928
2021,West Suffolk,E07000245,148127,17709,31012,19038,16351,9431,18063,20948,8958,6617
2021,Somerset West and Taunton,E07000246,131297,15749,28748,15761,17265,7715,17369,15063,7777,5850
2021,Bolton,E08000001,232288,21610,40501,27986,22145,12102,27860,33871,29156,17057
2021,Bury,E08000002,154876,18990,32603,20079,15325,7923,17717,17470,14901,9868
2021,Manchester,E08000003,437957,47624,69601,40779,32563,17588,42574,52982,57390,76856
2021,Oldham,E08000004,187034,14714,30561,22121,17969,10412,22053,28856,25354,14994
2021,Rochdale,E08000005,174947,15011,30048,20827,17151,9538,20926,27136,21943,12367
2021,Salford,E08000006,216923,24933,41121,26663,16793,10884,23662,28578,23136,21153
2021,Stockport,E08000007,238927,38178,54976,32518,23435,11351,24917,22890,18221,12441
2021,Tameside,E08000008,185136,16206,33217,25226,17125,11756,24154,28002,18948,10502
2021,Trafford,E08000009,186152,35353,43063,23383,17163,7841,17286,15945,14076,12042
2021,Wigan,E08000010,268694,24326,50961,33506,24802,17541,34482,43775,25306,13995
2021,Knowsley,E08000011,124298,8847,20844,16708,10087,7456,17776,19603,15927,7050
2021,Liverpool,E08000012,403027,35473,65566,44207,29251,18638,45856,53271,51137,59628
2021,St. Helens,E08000013,150571,14113,28431,18420,11927,9677,20195,24367,15859,7582
2021,Sefton,E08000014,232391,25050,48299,32685,22267,12271,29941,26967,22275,12636
2021,Wirral,E08000015,262111,30101,54816,34873,22338,15167,33305,31993,24876,14642
2021,Barnsley,E08000016,199789,15879,34044,22700,19338,14713,26705,37307,19813,9290
2021,Doncaster,E08000017,250925,19013,41716,27417,23632,18231,34530,47485,26976,11925
2021,Rotherham,E08000018,215570,18210,37416,26446,20155,14631,30726,33623,23108,11255
2021,Sheffield,E08000019,456250,53794,80586,48458,37429,21847,52669,55737,44550,61180
2021,Newcastle upon Tyne,E08000021,248450,29472,39393,23963,16223,11015,25174,28209,28121,46880
2021,North Tyneside,E08000022,171512,21524,36647,24055,12764,9611,21603,20189,16487,8632
2021,South Tyneside,E08000023,121292,9891,21392,15380,8418,8139,17532,17925,15847,6768
2021,Sunderland,E08000024,226074,17319,38179,29189,15781,14737,32707,34172,29334,14656
2021,Birmingham,E08000025,889622,83255,135380,87182,70747,40497,99975,112776,143540,116270
2021,Coventry,E08000026,276871,27004,43968,29791,20650,14642,31221,40735,27663,41197
2021,Dudley,E08000027,262491,24475,48819,34111,24366,16323,36727,37661,25163,14846
2021,Sandwell,E08000028,266028,16456,36825,28121,20843,15851,38594,48143,39044,22151
2021,Solihull,E08000029,174502,29502,38064,22591,15851,8853,19103,17058,13540,9940
2021,Walsall,E08000030,223100,16833,35524,24463,19907,13409,31889,37134,27912,16029
2021,Wolverhampton,E08000031,208442,15465,32608,21762,16579,11678,28753,37276,27317,17004
2021,Bradford,E08000032,421574,39095,69627,47241,40257,21679,47321,59765,60682,35907
2021,Calderdale,E08000033,166634,20362,33582,19805,17513,8953,19320,22571,14990,9538
2021,Kirklees,E08000034,346276,37990,65286,39028,33997,19038,38852,48204,36477,27404
2021,Leeds,E08000035,658471,88318,125302,76039,54475,32001,68796,78284,57147,78109
2021,Wakefield,E08000036,287538,26891,51345,33705,24336,20081,35933,55764,26120,13363
2021,Gateshead,E08000037,161747,16238,29874,20113,11347,10118,22262,23659,18451,9685
2021,City of London,E09000001,8004,3176,1914,433,568,134,289,255,437,798
2021,Barking and Dagenham,E09000002,161742,11328,24733,16906,21017,8077,19582,21066,21260,17773
2021,Barnet,E09000003,309357,57691,64413,30511,43699,10038,23553,20958,30833,27661
2021,Bexley,E09000004,195827,25414,40411,29477,21114,10180,20917,19041,15554,13719
2021,Brent,E09000005,275140,31954,45060,23892,36796,11567,26762,33356,36231,29522
2021,Bromley,E09000006,265088,54277,64340,34966,30181,10013,21650,16782,17462,15417
2021,Camden,E09000007,177908,42391,37323,11971,16020,4566,11259,9840,17475,27063
2021,Croydon,E09000008,310399,45735,66130,37862,35382,13143,31084,26908,29723,24432
2021,Ealing,E09000009,295372,43706,55635,27633,34632,12493,25915,31163,35979,28216
2021,Enfield,E09000010,257181,29836,46655,26607,32998,10829,26353,27424,33209,23270
2021,Greenwich,E09000011,229748,38358,46194,22383,22830,10072,23494,21752,23684,20981
2021,Hackney,E09000012,209468,38876,48424,17342,19516,7036,16300,17345,24777,19852
2021,Hammersmith and Fulham,E09000013,154624,35766,34998,12222,14844,5038,10626,10857,13735,16538
2021,Haringey,E09000014,215999,34135,45133,16504,26955,8897,17996,22514,24372,19493
2021,Harrow,E09000015,209621,34558,39456,22711,30841,6783,17716,16149,22681,18726
2021,Havering,E09000016,209730,26155,42207,31343,26166,10689,22685,20163,17230,13092
2021,Hillingdon,E09000017,241878,32183,45721,28509,26220,11863,23766,25019,25356,23241
2021,Hounslow,E09000018,228683,30196,41789,23635,26214,11466,23167,26928,25960,19328
2021,Islington,E09000019,183626,43592,40574,13768,14848,5834,12579,13414,18621,20396
